SMK;item;LDa;LEn;DDa;DEn;LEnPlural;Item URL;Commons category (Object related);Commons category (Artist related);Commons category;Comment
Søjle;Q4817;søjle;column;uafhængig lodret understøtning;structural element sustaining the weight of a building;columns;https://wikidata.org/wiki/Q4817;Columns in Statens Museum for Kunst;Columns by xxxx (name) in Statens Museum for Kunst;;
Søjlebase;Q56045633;;column base;;structural and decorative element at the bottoms of a column upon which the column is supported;column bases;https://wikidata.org/wiki/Q56045633;Architecture in Statens Museum for Kunst;Column bases by xxxx (name) in Statens Museum for Kunst;;
Sokkel;Q2302116;;socle;;"short plinth used to support a pedestal, sculpture or column";socles;https://wikidata.org/wiki/Q2302116;Architecture in Statens Museum for Kunst;Socles by xxxx (name) in Statens Museum for Kunst;;;
Sølvstift;Q111772909;;silverpoint;;technique using a silver wire or rod to draw on a prepared surface;silverpoints;https://wikidata.org/wiki/Q111772909;;;;
Spejlkapsel;Q56045914;;mirror case;;decorated container for a small mirror;mirror cases;https://wikidata.org/wiki/Q56045914;Mirror cases in Statens Museum for Kunst;Mirror cases by xxxx (name) in Statens Museum for Kunst;;
Spygat;Q2746178;Spygat;scupper;;architectural draining feature in ships or buildings;scuppers;https://wikidata.org/wiki/Q2746178;Architecture in Statens Museum for Kunst;Scuppers by xxxx (name) in Statens Museum for Kunst;;
Stålstik;Q12769612;;metal-engraving;;;metal-engravings;https://wikidata.org/wiki/Q12769612;Engravings in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Statue;Q179700;statue;statue;fritstående skulptur der forestiller mennesker og/eller dyr;sculpture primarily conceived as a representational figure;statues;https://wikidata.org/wiki/Q179700;Statues in Statens Museum for Kunst;Statues by xxxx (name) in Statens Museum for Kunst;;
Statuegruppe;Q2293362;statuegruppe;group of statues;en kollektion af flere statuer;"various sculptures that belong together, a sculpture depicting more persons or characters";group of statues;https://wikidata.org/wiki/Q2293362;Statues in Statens Museum for Kunst;Statues by xxxx (name) in Statens Museum for Kunst;;
Statuette;Q1066288;statuette;figurine;;"small item resembling a person or animal, sometimes part of a larger work";figurines;https://wikidata.org/wiki/Q1066288;Figurines in Statens Museum for Kunst;Figurines by xxxx (name) in Statens Museum for Kunst;;
Statuettegruppe;Q1066288;statuette;figurine;;"small item resembling a person or animal, sometimes part of a larger work";figurines;https://wikidata.org/wiki/Q1066288;Figurines in Statens Museum for Kunst;Figurines by xxxx (name) in Statens Museum for Kunst;;
Stele;Q178743;Stele;stele;;stone or wooden slab erected for funerals or commemorative purposes;steles;https://wikidata.org/wiki/Q178743;Steles in Statens Museum for Kunst;Steles by xxxx (name) in Statens Museum for Kunst;;
Stregætsning;Q747704;;line engraving;;printing process that produces images in line;line engravings;https://wikidata.org/wiki/Q747704;Engravings in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Stregkliché;Q747704;;line engraving;;printing process that produces images in line;line engravings;https://wikidata.org/wiki/Q747704;;;;
Tavle;Q245117;relief sculpture;relief sculpture;;sculpture created with relief technique;relief sculptures;https://wikidata.org/wiki/Q245117;Relief sculptures in Statens Museum for Kunst;Relief sculptures by xxxx (name) in Statens Museum for Kunst;;
Tegning;Q93184;tegning;drawing;type af to-dimensionelle billedkunst;visual artwork in two-dimensional medium;drawings;https://wikidata.org/wiki/Q93184;Drawings in Statens Museum for Kunst;Drawings by xxxx (name) in Statens Museum for Kunst;;
Tekstil;Q22075301;;textile artwork;;artwork created from textile materials;textile artworks;https://wikidata.org/wiki/Q22075301;;;;
Torso;Q107197166;;torso;;kind of sculpture;torsos;https://wikidata.org/wiki/Q107197166;Sculptures in Statens Museum for Kunst;Sculptures by xxxx (name) in Statens Museum for Kunst;;
Træsnit;Q18219090;xylografi;woodcut print;;"print produced by woodcutting, aka. xylography technique";woodcut prints;https://wikidata.org/wiki/Q18219090;Woodcuts in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Tympanon;Q223209;Tympanon;tympanum;;architectural element;tympanums;https://wikidata.org/wiki/Q223209;Architecture in Statens Museum for Kunst;Tympanums by xxxx (name) in Statens Museum for Kunst;;
Væginstallation;Q20437094;kunstinstallation;installation artwork;;"three-dimensional work of art, usually from various materials and larger than a sculpture. For the art genre, use Q212431.";installation artworks;https://wikidata.org/wiki/Q20437094;;;;
Vægmaleri;Q99516640;;wall painting;;painted decoration or scene applied to a prepared wall or ceiling surface;wall paintings;https://wikidata.org/wiki/Q99516640;Wall paintings in Statens Museum for Kunst;Paintings by xxxx (name) in Statens Museum for Kunst;;
Vase;Q191851;vase;vase;åben beholder til at holde blomster;"open container, often used to hold cut flowers";vases;https://wikidata.org/wiki/Q191851;Vases in Statens Museum for Kunst;Vases by xxxx (name) in Statens Museum for Kunst;;
Video;Q20742776;videokunstværk;video artwork;;video art piece;video artworks;https://wikidata.org/wiki/Q20742776;;;;
Videoinstallation;Q550484;;video installation;;installation artwork that includes video as a main element;video installations;https://wikidata.org/wiki/Q550484;;;;
Vievandskar;Q111514587;;holy water vessel;;any of various containers for holy water;holy water vessels;https://wikidata.org/wiki/Q111514587;;Religious art in Statens Museum for Kunst;Holy water vessels by xxxx (name) in Statens Museum for Kunst;;
Xylografi;Q18219090;xylografi;woodcut print;;"print produced by woodcutting, aka. xylography technique";woodcut prints;https://wikidata.org/wiki/Q18219090;Woodcuts in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Zinkografi;Q21648161;;zincograph;;artwork produced with a zincography process;zincographs;https://wikidata.org/wiki/Q21648161;Lithographs in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
Zinktryk;Q21648161;;zincograph;;artwork produced with a zincography process;zincographs;https://wikidata.org/wiki/Q21648161;Lithographs in Statens Museum for Kunst;Prints by xxxx (name) in Statens Museum for Kunst;;
