inventarnummer;wikidata_id
KMS1607;Q20267727
KMS1608;Q20277852
KMS1609;Q20426462
KMS161;Q20440510
KMS1610;Q20354138
KMS1611;Q20268285
KMS1612;Q20441005
KMS1613;Q20380025
KMS1615;Q20354209
KMS1616;Q20422106
KMS1617;Q20482661
KMS1618;Q20355737
KMS1619;Q20540530
KMS1620;Q20392050
KMS1621;Q7750274
KMS1622;Q20409032
KMS1623;Q20268525
KMS1624;Q20433776
KMS1625;Q20278317
KMS1626;Q20276042
KMS1627;Q20268212
KMS1628;Q20354343
KMS1629;Q20355251
KMS1630;Q20440897
KMS1631;Q20479127
KMS1632;Q20540512
KMS1633a;Q20355689
KMS1633b;Q20390658
KMS1634;Q20493112
KMS1635;Q20469345
KMS1636;Q20397433
KMS1637;Q20354180
KMS1638;Q20461195
KMS1639;Q20426804
KMS164;Q20355556
KMS1640;Q20421002
KMS1641;Q20078740
KMS1643;Q20355306
KMS1644;Q20551977
KMS1645;Q20398113
KMS1646;Q20355325
KMS1647;Q20354369
KMS1648;Q20355441
KMS1649;Q20440539
KMS165;Q20268565
KMS1650;Q20440771
KMS1651;Q20355661
KMS1652;Q20354411
KMS1653;Q20382999
KMS1655;Q20270891
KMS1656;Q20267604
KMS1657;Q20380271
KMS1658;Q20405379
KMS1659;Q20354560
KMS166;Q20267899
KMS1660;Q20391981
KMS1661;Q20482524
KMS1662;Q20534518
KMS1663;Q20540929
KMS1664;Q20550402
KMS1665;Q20549674
KMS1666;Q20267561
KMS1667;Q20539637
KMS1669;Q20354326
KMS167;Q20278289
KMS1670;Q20482331
KMS1671;Q20267427
KMS1672;Q20441183
KMS1673;Q20355447
KMS1674;Q20528223
KMS1675;Q20267194
KMS1676;Q20436305
KMS1677;Q20440807
KMS1678;Q20491464
KMS1679;Q20491198
KMS168;Q20499583
KMS1680;Q20403046
KMS1681;Q20268163
KMS1682;Q20274300
KMS1683;Q20539375
KMS1684;Q20268048
KMS1685;Q20491789
KMS1686;Q20491441
KMS1687;Q20441107
KMS1688;Q20478416
KMS1689;Q20275950
KMS169;Q20538906
KMS1690;Q20268476
KMS1691;Q20492934
KMS1692;Q20382361
KMS1693;Q20354410
KMS1694;Q20277540
KMS1695;Q20379696
KMS1696;Q20493250
KMS1697;Q20270722
KMS1698;Q20355029
KMS1699;Q20380116
KMS16a;Q20460379
KMS170;Q20441206
KMS1700;Q20354874
KMS1701;Q20354824
KMS1702;Q20274311
KMS1703;Q20270271
KMS1704;Q20440431
KMS1705;Q20268195
KMS1706;Q20537476
KMS1707;Q20271247
KMS1708;Q20408449
KMS1709;Q20548407
KMS171;Q20277690
KMS1710;Q20399117
KMS1711;Q20539499
KMS1712;Q20421785
KMS1713;Q20278299
KMS1714;Q20440527
KMS1715;Q20440743
KMS1716;Q20354393
KMS1717;Q20267611
KMS1718;Q20537879
KMS1719;Q20267723
KMS1720;Q20528183
KMS1721;Q20428687
KMS1722;Q20469046
KMS1723;Q20539640
KMS1724;Q20441116
KMS1725;Q20380543
KMS1726;Q20423621
KMS1727;Q20267405
KMS1728;Q20354414
KMS1729;Q20384604
KMS173;Q20268800
KMS1730;Q20540639
KMS1731;Q20413899
KMS1732;Q20354598
KMS1733;Q20392023
KMS1734;Q20354269
KMS1735;Q20467777
KMS1736;Q20421694
KMS1737;Q20268339
KMS1738;Q20385194
KMS1739;Q20268378
KMS174;Q20354519
KMS1740;Q20535958
KMS1742;Q20438005
KMS1743;Q20440583
KMS1745;Q20354321
KMS1746;Q20267981
KMS1747;Q20435413
KMS1748;Q20267881
KMS1749;Q20496933
KMS1750;Q20355511
KMS1751;Q20492290
KMS1752;Q20380896
KMS1753;Q20441157
KMS1754;Q20354909
KMS1755;Q20491288
KMS1756;Q20482287
KMS1757;Q20354322
KMS1758;Q20539540
KMS1759;Q20354217
KMS176;Q20538176
KMS1760;Q20468374
KMS1761;Q20468312
KMS1762;Q20428331
KMS1763;Q20354318
KMS1764;Q20540647
KMS1765;Q20275997
KMS1766;Q20423695
KMS1767;Q20498785
KMS1768;Q20268091
KMS1769;Q20440724
KMS177;Q20473162
KMS1770;Q20477295
KMS1771;Q20440825
KMS1772;Q20421309
KMS1773;Q20539545
KMS1774;Q20440598
KMS1775;Q20441162
KMS1776;Q20355607
KMS1777;Q20491559
KMS1778;Q20440846
KMS1779;Q20354724
KMS178;Q20354250
KMS1780;Q20355453
KMS1781;Q20355324
KMS1782;Q20355119
KMS1783;Q20422167
KMS1785;Q20277876
KMS1786;Q20440759
KMS1787;Q20440592
KMS1788;Q20422143
KMS1789;Q20539920
KMS1790;Q20468822
KMS1791;Q20354788
KMS1797;Q20355779
KMS1798;Q20440731
KMS1799;Q20380491
KMS1800;Q20354959
KMS1801;Q20553659
KMS1802;Q20269791
KMS1803;Q20440499
KMS1804;Q20537076
KMS1805;Q20537894
KMS1806;Q20491296
KMS1807;Q20384529
KMS1808;Q20426851
KMS1809;Q20466835
KMS181;Q20354510
KMS1810;Q20276145
KMS1811;Q20397008
KMS1812;Q20468190
KMS1813;Q20412761
KMS1814;Q20355031
KMS1815;Q20355504
KMS1816;Q20354311
KMS1817;Q20421025
KMS1818;Q20355516
KMS1819;Q20440233
KMS182;Q20540172
KMS1820;Q20355690
KMS1821;Q20354302
KMS1822;Q20391316
KMS1823;Q20354946
KMS1824;Q20354859
KMS1825;Q20544246
KMS1826;Q20483885
KMS1827;Q20354733
KMS1828;Q20354667
KMS1829;Q20354107
KMS183;Q20392216
KMS1830;Q20355773
KMS1831;Q20355291
KMS1832;Q20381424
KMS1833;Q20268390
KMS1834;Q20267828
KMS1835;Q20469749
KMS1836;Q20440392
KMS1837;Q20440917
KMS1838;Q20380011
KMS1839;Q20491336
KMS184;Q20548617
KMS1840;Q11747755
KMS1841;Q20354258
KMS1842;Q20354641
KMS1843;Q20459945
KMS1844;Q20496992
KMS1845;Q20538810
KMS1846;Q20354884
KMS1847;Q20536642
KMS1848;Q20463652
KMS1849;Q20483913
KMS185;Q20540671
KMS1850;Q30046721
KMS1850;Q20440748
KMS1851;Q20405857
KMS1852;Q20355108
KMS1853;Q20538901
KMS1854;Q20482183
KMS1855;Q20433297
KMS1856;Q20277656
KMS1857;Q20540402
KMS1858;Q20540774
KMS1859;Q20354266
KMS186;Q20391980
KMS1860;Q20275857
KMS1861;Q20381479
KMS1862;Q20440294
KMS1863;Q20491502
KMS1864;Q20500318
KMS1865;Q20354503
KMS1866;Q20268607
KMS1867;Q20354873
KMS1868;Q20270188
KMS1869;Q20355528
KMS1870;Q20268436
KMS1871;Q20354164
KMS1872;Q20354440
KMS1873;Q20493108
KMS1874;Q20354242
KMS1875;Q20267384
KMS1876;Q20438844
KMS1877;Q20440861
KMS1878;Q20380178
KMS1879;Q20543252
KMS188;Q20354760
KMS1880;Q20267879
KMS1881;Q20440886
KMS1882;Q20355562
KMS1884;Q20491230
KMS1885;Q20539651
KMS1886;Q20354395
KMS1887;Q20410572
KMS1889;Q20483896
KMS189;Q20440883
KMS1890;Q20354187
KMS1891;Q20392077
KMS1892;Q20277012
KMS1893;Q20268567
KMS1894;Q20536543
KMS1895;Q20354984
KMS1896;Q20380019
KMS1897;Q20355617
KMS1898;Q20538494
KMS1899;Q20268879
KMS190;Q20354319
KMS1901;Q20540497
KMS1902;Q20354404
KMS1903;Q20540319
KMS1904;Q20423772
KMS1905;Q20412124
KMS1906;Q20441132
KMS1907;Q20419655
KMS1908;Q20538106
KMS191;Q20536401
